old_path,new_path
src/main/java/com/example/agent/AgentApplication.java,src/main/java/com/example/agent/bootstrap/AgentApplication.java
src/main/java/com/example/agent/agentcore/EnforcementGateway.java,src/main/java/com/example/agent/capabilities/tools/enforcement/EnforcementGateway.java
src/main/java/com/example/agent/agentcore/SandboxExecutor.java,src/main/java/com/example/agent/capabilities/tools/sandbox/SandboxExecutor.java
src/main/java/com/example/agent/agentcore/ToolArgumentValidator.java,src/main/java/com/example/agent/capabilities/tools/validation/ToolArgumentValidator.java
src/main/java/com/example/agent/agentcore/ToolCache.java,src/main/java/com/example/agent/capabilities/tools/registry/ToolCache.java
src/main/java/com/example/agent/agentcore/ToolExecutor.java,src/main/java/com/example/agent/capabilities/tools/execution/ToolExecutor.java
src/main/java/com/example/agent/agentcore/ToolRegistry.java,src/main/java/com/example/agent/capabilities/tools/registry/ToolRegistry.java
src/main/java/com/example/agent/approval/ApprovalDecision.java,src/main/java/com/example/agent/governance/approval/ApprovalDecision.java
src/main/java/com/example/agent/approval/ApprovalHandle.java,src/main/java/com/example/agent/governance/approval/ApprovalHandle.java
src/main/java/com/example/agent/approval/ApprovalProperties.java,src/main/java/com/example/agent/governance/approval/ApprovalProperties.java
src/main/java/com/example/agent/approval/ApprovalService.java,src/main/java/com/example/agent/governance/approval/ApprovalService.java
src/main/java/com/example/agent/approval/ToolApprovalDecisionRequest.java,src/main/java/com/example/agent/governance/approval/ToolApprovalDecisionRequest.java
src/main/java/com/example/agent/approval/ToolApprovalDecisionResponse.java,src/main/java/com/example/agent/governance/approval/ToolApprovalDecisionResponse.java
src/main/java/com/example/agent/auth/ApiKeyAuthenticator.java,src/main/java/com/example/agent/security/auth/ApiKeyAuthenticator.java
src/main/java/com/example/agent/auth/ApiKeyProperties.java,src/main/java/com/example/agent/security/auth/ApiKeyProperties.java
src/main/java/com/example/agent/auth/AuthService.java,src/main/java/com/example/agent/security/auth/AuthService.java
src/main/java/com/example/agent/auth/JwtProperties.java,src/main/java/com/example/agent/security/auth/JwtProperties.java
src/main/java/com/example/agent/auth/TenantContext.java,src/main/java/com/example/agent/security/auth/TenantContext.java
src/main/java/com/example/agent/auth/TenantContextFilter.java,src/main/java/com/example/agent/api/http/filter/TenantContextFilter.java
src/main/java/com/example/agent/auth/TenantProperties.java,src/main/java/com/example/agent/security/auth/TenantProperties.java
src/main/java/com/example/agent/auth/TenantResolver.java,src/main/java/com/example/agent/security/auth/TenantResolver.java
src/main/java/com/example/agent/auth/UserContext.java,src/main/java/com/example/agent/security/auth/UserContext.java
src/main/java/com/example/agent/budget/ContextBudgetAllocation.java,src/main/java/com/example/agent/budget/token/ContextBudgetAllocation.java
src/main/java/com/example/agent/budget/ContextBudgetAllocator.java,src/main/java/com/example/agent/budget/token/ContextBudgetAllocator.java
src/main/java/com/example/agent/budget/ContextBudgetPolicy.java,src/main/java/com/example/agent/budget/token/ContextBudgetPolicy.java
src/main/java/com/example/agent/budget/ContextBudgetProperties.java,src/main/java/com/example/agent/budget/token/ContextBudgetProperties.java
src/main/java/com/example/agent/budget/ContextBudgetRequest.java,src/main/java/com/example/agent/budget/token/ContextBudgetRequest.java
src/main/java/com/example/agent/budget/ContextCompressionController.java,src/main/java/com/example/agent/budget/trim/ContextCompressionController.java
src/main/java/com/example/agent/budget/ContextCompressionProperties.java,src/main/java/com/example/agent/budget/trim/ContextCompressionProperties.java
src/main/java/com/example/agent/budget/ContextCompressionRequest.java,src/main/java/com/example/agent/budget/trim/ContextCompressionRequest.java
src/main/java/com/example/agent/budget/ContextCompressionResult.java,src/main/java/com/example/agent/budget/trim/ContextCompressionResult.java
src/main/java/com/example/agent/budget/ContextPruner.java,src/main/java/com/example/agent/budget/trim/ContextPruner.java
src/main/java/com/example/agent/budget/ContextPruneRequest.java,src/main/java/com/example/agent/budget/trim/ContextPruneRequest.java
src/main/java/com/example/agent/budget/ContextPruneResult.java,src/main/java/com/example/agent/budget/trim/ContextPruneResult.java
src/main/java/com/example/agent/budget/ContextSection.java,src/main/java/com/example/agent/budget/trim/ContextSection.java
src/main/java/com/example/agent/budget/ContextTrimmer.java,src/main/java/com/example/agent/budget/trim/ContextTrimmer.java
src/main/java/com/example/agent/budget/ContextTrimReport.java,src/main/java/com/example/agent/budget/trim/ContextTrimReport.java
src/main/java/com/example/agent/budget/ContextTrimRequest.java,src/main/java/com/example/agent/budget/trim/ContextTrimRequest.java
src/main/java/com/example/agent/budget/ContextTrimResult.java,src/main/java/com/example/agent/budget/trim/ContextTrimResult.java
src/main/java/com/example/agent/budget/ContextTrimSection.java,src/main/java/com/example/agent/budget/trim/ContextTrimSection.java
src/main/java/com/example/agent/budget/ContextTrimStats.java,src/main/java/com/example/agent/budget/trim/ContextTrimStats.java
src/main/java/com/example/agent/budget/CostCalculator.java,src/main/java/com/example/agent/budget/cost/CostCalculator.java
src/main/java/com/example/agent/budget/DefaultContextBudgetAllocator.java,src/main/java/com/example/agent/budget/token/DefaultContextBudgetAllocator.java
src/main/java/com/example/agent/budget/DefaultContextPruner.java,src/main/java/com/example/agent/budget/trim/DefaultContextPruner.java
src/main/java/com/example/agent/budget/DefaultContextTrimmer.java,src/main/java/com/example/agent/budget/trim/DefaultContextTrimmer.java
src/main/java/com/example/agent/budget/InMemoryTokenUsageRepository.java,src/main/java/com/example/agent/budget/token/InMemoryTokenUsageRepository.java
src/main/java/com/example/agent/budget/JdbcTokenUsageRepository.java,src/main/java/com/example/agent/budget/token/JdbcTokenUsageRepository.java
src/main/java/com/example/agent/budget/PrunedItem.java,src/main/java/com/example/agent/budget/trim/PrunedItem.java
src/main/java/com/example/agent/budget/TokenBudgetManager.java,src/main/java/com/example/agent/budget/token/TokenBudgetManager.java
src/main/java/com/example/agent/budget/TokenUsageInput.java,src/main/java/com/example/agent/budget/token/TokenUsageInput.java
src/main/java/com/example/agent/budget/TokenUsageRecord.java,src/main/java/com/example/agent/budget/token/TokenUsageRecord.java
src/main/java/com/example/agent/budget/TokenUsageRepository.java,src/main/java/com/example/agent/budget/token/TokenUsageRepository.java
src/main/java/com/example/agent/budget/TokenUsageSummary.java,src/main/java/com/example/agent/budget/token/TokenUsageSummary.java
src/main/java/com/example/agent/common/ApiResponse.java,src/main/java/com/example/agent/common/response/ApiResponse.java
src/main/java/com/example/agent/common/ErrorCodeException.java,src/main/java/com/example/agent/common/error/ErrorCodeException.java
src/main/java/com/example/agent/common/ErrorCodeProvider.java,src/main/java/com/example/agent/common/error/ErrorCodeProvider.java
src/main/java/com/example/agent/common/ErrorResponse.java,src/main/java/com/example/agent/common/error/ErrorResponse.java
src/main/java/com/example/agent/common/SyncWaitTimeoutException.java,src/main/java/com/example/agent/common/error/SyncWaitTimeoutException.java
src/main/java/com/example/agent/common/TaskListResponse.java,src/main/java/com/example/agent/api/http/dto/TaskListResponse.java
src/main/java/com/example/agent/common/TaskQuery.java,src/main/java/com/example/agent/api/http/dto/TaskQuery.java
src/main/java/com/example/agent/common/TaskRequest.java,src/main/java/com/example/agent/api/http/dto/TaskRequest.java
src/main/java/com/example/agent/common/TaskResponse.java,src/main/java/com/example/agent/api/http/dto/TaskResponse.java
src/main/java/com/example/agent/common/TaskStatusResponse.java,src/main/java/com/example/agent/api/http/dto/TaskStatusResponse.java
src/main/java/com/example/agent/context/AuditMetadata.java,src/main/java/com/example/agent/capabilities/context/AuditMetadata.java
src/main/java/com/example/agent/context/BudgetState.java,src/main/java/com/example/agent/capabilities/context/BudgetState.java
src/main/java/com/example/agent/context/BuildMetrics.java,src/main/java/com/example/agent/capabilities/context/BuildMetrics.java
src/main/java/com/example/agent/context/Citation.java,src/main/java/com/example/agent/capabilities/context/Citation.java
src/main/java/com/example/agent/context/ContextAssembler.java,src/main/java/com/example/agent/capabilities/context/ContextAssembler.java
src/main/java/com/example/agent/context/ContextBuilder.java,src/main/java/com/example/agent/capabilities/context/ContextBuilder.java
src/main/java/com/example/agent/context/ContextBuildRequest.java,src/main/java/com/example/agent/capabilities/context/ContextBuildRequest.java
src/main/java/com/example/agent/context/ContextBuildResult.java,src/main/java/com/example/agent/capabilities/context/ContextBuildResult.java
src/main/java/com/example/agent/context/ContextPolicy.java,src/main/java/com/example/agent/capabilities/context/ContextPolicy.java
src/main/java/com/example/agent/context/ContextSnapshot.java,src/main/java/com/example/agent/capabilities/context/ContextSnapshot.java
src/main/java/com/example/agent/context/DefaultContextAssembler.java,src/main/java/com/example/agent/capabilities/context/DefaultContextAssembler.java
src/main/java/com/example/agent/context/DefaultContextBuilder.java,src/main/java/com/example/agent/capabilities/context/DefaultContextBuilder.java
src/main/java/com/example/agent/context/DomainKnowledge.java,src/main/java/com/example/agent/capabilities/context/DomainKnowledge.java
src/main/java/com/example/agent/context/EvidenceIndex.java,src/main/java/com/example/agent/capabilities/context/EvidenceIndex.java
src/main/java/com/example/agent/context/EvidenceItem.java,src/main/java/com/example/agent/capabilities/context/EvidenceItem.java
src/main/java/com/example/agent/context/EvidencePack.java,src/main/java/com/example/agent/capabilities/context/EvidencePack.java
src/main/java/com/example/agent/context/EvidencePackService.java,src/main/java/com/example/agent/capabilities/context/EvidencePackService.java
